mode,depth,first_player,first_symbol,game_index,opening_move,winner,result,move_count,x_moves,o_moves,x_total_nodes,o_total_nodes,total_nodes,x_avg_nodes_per_move,o_avg_nodes_per_move,avg_nodes_per_move,x_total_time_s,o_total_time_s,total_search_time_s,x_avg_time_s,o_avg_time_s,avg_search_time_s,x_avg_evaluation,o_avg_evaluation,x_total_cutoffs,o_total_cutoffs,total_cutoffs,x_cache_hits,o_cache_hits,total_cache_hits,wall_time_s,max_candidates,max_moves
minimax,4,ai,O,3,"(3, 4)",O,ai_win,17,8,9,828,786,1614,103.5,87.33333333333333,94.94117647058823,0.1552610999206081,0.1716044998029247,0.3268655997235328,0.019407637490076013,0.01906716664476941,0.01922738821903134,-2538889.25,2229170.6666666665,0,0,0,0,0,0,0.32808220002334565,3,60
minimax,4,ai,O,4,"(4, 5)",O,ai_win,17,8,9,828,786,1614,103.5,87.33333333333333,94.94117647058823,0.14853090001270175,0.15225660032592714,0.3007875003386289,0.01856636250158772,0.016917400036214128,0.017693382372860524,-2538889.25,2229170.6666666665,0,0,0,0,0,0,0.3018696999642998,3,60
minimax,4,ai,O,5,"(5, 4)",O,ai_win,15,7,8,756,699,1455,108.0,87.375,97.0,0.1380897001363337,0.14016850013285875,0.27825820026919246,0.019727100019476244,0.017521062516607344,0.01855054668461283,-2890990.5714285714,2516979.5,0,0,0,0,0,0,0.2791573000140488,3,60
minimax,4,ai,O,6,"(3, 3)",X,human_win,20,10,10,1080,990,2070,108.0,99.0,103.5,0.28999360010493547,0.22873019985854626,0.5187237999634817,0.028999360010493545,0.022873019985854625,0.025936189998174087,1985245.6,-2002627.4,0,0,0,0,0,0,0.520285899983719,3,60
minimax,4,ai,O,7,"(3, 5)",X,human_win,20,10,10,1095,1008,2103,109.5,100.8,105.15,0.26403070031665266,0.2410389999859035,0.5050697003025562,0.026403070031665265,0.02410389999859035,0.025253485015127808,1932595.6,-1974065.4,0,0,0,0,0,0,0.5065442000050098,3,60
minimax,4,ai,O,8,"(5, 3)",O,ai_win,19,9,10,1026,984,2010,114.0,98.4,105.78947368421052,0.25371929979883134,0.23836189997382462,0.49208119977265596,0.02819103331098126,0.023836189997382462,0.025899010514350312,-2236648.222222222,1993809.6,0,0,0,0,0,0,0.49366540007758886,3,60
minimax,4,ai,O,9,"(5, 5)",O,ai_win,29,14,15,1578,1518,3096,112.71428571428571,101.2,106.75862068965517,0.5903833999764174,0.6021506001707166,1.192534000147134,0.04217024285545839,0.04014337334471444,0.0411218620740391,-1482282.4285714286,1372423.7333333334,0,0,0,0,0,0,1.196062200004235,3,60
minimax,4,ai,O,10,"(4, 2)",X,human_win,20,10,10,1116,1032,2148,111.6,103.2,107.4,0.31975749996490777,0.2991759998258203,0.6189334997907281,0.03197574999649078,0.029917599982582033,0.030946674989536405,1950633.6,-1986215.4,0,0,0,0,0,0,0.620703799999319,3,60
minimax,4,human,X,1,"(4, 4)",X,human_win,15,8,7,699,756,1455,87.375,108.0,97.0,0.20260299986694008,0.1871036000084132,0.3897065998753533,0.02532537498336751,0.0267290857154876,0.025980439991690217,2542382.0,-2930162.0,0,0,0,0,0,0,0.39105910004582256,3,60
minimax,4,human,X,2,"(4, 3)",X,human_win,17,9,8,825,900,1725,91.66666666666667,112.5,101.47058823529412,0.3382975001586601,0.34619890025351197,0.6844964004121721,0.03758861112874001,0.043274862531688996,0.040264494141892475,2238377.3333333335,-2540289.25,0,0,0,0,0,0,0.686299700057134,3,60
minimax,4,human,X,3,"(3, 4)",X,human_win,17,9,8,786,828,1614,87.33333333333333,103.5,94.94117647058823,0.21977730002254248,0.19853799988050014,0.4183152999030426,0.02441970000250472,0.024817249985062517,0.0246067823472378,2229170.6666666665,-2538889.25,0,0,0,0,0,0,0.4196971000637859,3,60
minimax,4,human,X,4,"(4, 5)",X,human_win,17,9,8,786,828,1614,87.33333333333333,103.5,94.94117647058823,0.1887969997478649,0.1694172996794805,0.3582142994273454,0.020977444416429434,0.02117716245993506,0.02107142937807914,2229170.6666666665,-2538889.25,0,0,0,0,0,0,0.35944400005973876,3,60
minimax,4,human,X,5,"(5, 4)",X,human_win,15,8,7,699,756,1455,87.375,108.0,97.0,0.1652486000675708,0.16101269982755184,0.32626129989512265,0.02065607500844635,0.023001814261078835,0.02175075332634151,2516979.5,-2890990.5714285714,0,0,0,0,0,0,0.3272714000195265,3,60
minimax,4,human,X,6,"(3, 3)",O,ai_win,20,10,10,990,1080,2070,99.0,108.0,103.5,0.2688987998990342,0.31911340018268675,0.588012200081721,0.02688987998990342,0.031911340018268675,0.029400610004086048,-2002627.4,1985245.6,0,0,0,0,0,0,0.5898392000235617,3,60
minimax,4,human,X,7,"(3, 5)",O,ai_win,20,10,10,1008,1095,2103,100.8,109.5,105.15,0.2828686002176255,0.335410000057891,0.6182786002755165,0.02828686002176255,0.0335410000057891,0.030913930013775827,-1974065.4,1932595.6,0,0,0,0,0,0,0.6201149000553414,3,60
minimax,4,human,X,8,"(5, 3)",X,human_win,19,10,9,984,1026,2010,98.4,114.0,105.78947368421052,0.24510479997843504,0.22995080007240176,0.4750556000508368,0.024510479997843504,0.02555008889693353,0.025002926318465096,1993809.6,-2236648.222222222,0,0,0,0,0,0,0.47644939995370805,3,60
minimax,4,human,X,9,"(5, 5)",X,human_win,29,15,14,1518,1578,3096,101.2,112.71428571428571,106.75862068965517,0.4699312001466751,0.4640555999940261,0.9339868001407012,0.03132874667644501,0.03314682857100187,0.032206441384162114,1372423.7333333334,-1482282.4285714286,0,0,0,0,0,0,0.9371216000290588,3,60
minimax,4,human,X,10,"(4, 2)",O,ai_win,20,10,10,1032,1116,2148,103.2,111.6,107.4,0.2410109001211822,0.26738710002973676,0.508398000150919,0.02410109001211822,0.026738710002973676,0.02541990000754595,-1986215.4,1950633.6,0,0,0,0,0,0,0.5098557999590412,3,60
minimax,5,ai,O,1,"(4, 4)",O,ai_win,15,7,8,2271,2217,4488,324.42857142857144,277.125,299.2,0.4943841000786051,0.4494804999558255,0.9438646000344306,0.0706263000112293,0.05618506249447819,0.06292430666896204,-2903764.8571428573,3795721.375,0,0,0,0,0,0,0.9448318000650033,3,60
minimax,5,ai,O,2,"(4, 3)",O,ai_win,17,8,9,2538,2436,4974,317.25,270.6666666666667,292.5882352941176,0.5722971999784932,0.5283092998433858,1.100606499821879,0.07153714999731164,0.05870103331593176,0.0647415588130517,-2482161.75,3343359.0,0,0,0,0,0,0,1.101809100015089,3,60
minimax,5,ai,O,3,"(3, 4)",O,ai_win,17,8,9,2262,2268,4530,282.75,252.0,266.47058823529414,0.4552721999352798,0.44391059991903603,0.8991827998543158,0.05690902499190997,0.049323399991004005,0.052893105873783285,-2509786.75,3370052.3333333335,0,0,0,0,0,0,0.9002774000400677,3,60
minimax,5,ai,O,4,"(4, 5)",O,ai_win,23,11,12,3078,3321,6399,279.8181818181818,276.75,278.2173913043478,0.8478955001337454,0.8342944000614807,1.682189900195226,0.07708140910306777,0.06952453333845672,0.07313869131283592,-1918210.3636363635,2619689.25,0,0,0,0,0,0,1.6841559000313282,3,60
minimax,5,ai,O,5,"(5, 4)",O,ai_win,17,8,9,2508,2379,4887,313.5,264.3333333333333,287.47058823529414,0.5455986998276785,0.4944769999710843,1.0400756997987628,0.06819983747845981,0.054941888885676034,0.06118092351757428,-2514941.75,3365483.4444444445,0,0,0,0,0,0,1.0412156999809667,3,60
minimax,5,ai,O,6,"(3, 3)",X,human_win,20,10,10,3234,2733,5967,323.4,273.3,298.35,0.8660829999716952,0.8007525001885369,1.6668355001602322,0.08660829999716953,0.0800752500188537,0.08334177500801161,2989995.1,-1973237.4,0,0,0,0,0,0,1.6685439000139013,3,60
minimax,5,ai,O,7,"(3, 5)",X,human_win,20,10,10,3291,2880,6171,329.1,288.0,308.55,0.9927422001492232,0.9141193001996726,1.9068615003488958,0.09927422001492232,0.09141193001996725,0.0953430750174448,3021699.1,-1996049.4,0,0,0,0,0,0,1.9087186000542715,3,60
